year,filename,perplexity
1985,1985_Thinktank_CR_AEI_66.txt_chunk24,73.08011627197266
1985,1985_Thinktank_CR_Heritage_9.txt_chunk2,63.377197265625
1985,1985_Thinktank_CR_CFR_48.txt_chunk16,135.02749633789062
1985,1985_Thinktank_CR_CFR_48.txt_chunk15,113.12999725341797
1985,1985_Thinktank_CR_CFR_48.txt_chunk14,87.05024719238281
1985,1985_Thinktank_CR_CFR_48.txt_chunk13,116.39204406738281
1985,1985_Thinktank_CR_CFR_48.txt_chunk12,120.12406921386719
1985,1985_Thinktank_CR_CFR_48.txt_chunk11,121.2227554321289
1985,1985_Thinktank_CR_AEI_66.txt_chunk13,102.8798828125
1985,1985_Thinktank_CR_AEI_66.txt_chunk14,110.30717468261719
1985,1985_Thinktank_CR_AEI_66.txt_chunk15,66.79254913330078
1985,1985_Thinktank_CR_Heritage_9.txt_chunk0,79.19407653808594
1985,1985_Thinktank_CR_Heritage_9.txt_chunk1,135.0942840576172
1985,1985_Thinktank_CR_AEI_66.txt_chunk7,119.6392593383789
1985,1985_Thinktank_CR_Heritage_9.txt_chunk3,50.528587341308594
1985,1985_Thinktank_CR_Heritage_9.txt_chunk4,102.7255630493164
1985,1985_Thinktank_CR_AEI_66.txt_chunk16,88.9804916381836
1985,1985_Thinktank_CR_CFR_51.txt_chunk0,30.774877548217773
1985,1985_Thinktank_CR_CFR_51.txt_chunk1,44.859397888183594
1985,1985_Thinktank_CR_AEI_66.txt_chunk17,102.64212799072266
1985,1985_Thinktank_CR_AEI_66.txt_chunk4,75.9710464477539
1985,1985_Thinktank_CR_AEI_66.txt_chunk5,115.23104095458984
1985,1985_Thinktank_CR_AEI_66.txt_chunk6,67.54170227050781
1985,1985_Thinktank_CR_CFR_63.txt_chunk1,18.432008743286133
1985,1985_Thinktank_CR_CFR_48.txt_chunk4,101.70326232910156
1985,1985_Thinktank_CR_CFR_48.txt_chunk5,93.5905990600586
1985,1985_Thinktank_CR_CFR_48.txt_chunk6,69.17354583740234
1985,1985_Thinktank_CR_CFR_48.txt_chunk7,63.89720916748047
1985,1985_Thinktank_CR_CFR_48.txt_chunk8,105.1686019897461
1985,1985_Thinktank_CR_CFR_28.txt_chunk0,35.19306182861328
1985,1985_Thinktank_CR_CFR_48.txt_chunk9,77.43797302246094
1985,1985_Thinktank_CR_CFR_48.txt_chunk0,70.0482406616211
1985,1985_Thinktank_CR_AEI_66.txt_chunk3,67.9803237915039
1985,1985_Thinktank_CR_AEI_66.txt_chunk2,46.27761459350586
1985,1985_Thinktank_CR_AEI_66.txt_chunk1,63.74544143676758
1985,1985_Thinktank_CR_AEI_66.txt_chunk0,109.88666534423828
1985,1985_Thinktank_CR_CFR_48.txt_chunk1,49.927825927734375
1985,1985_Thinktank_CR_CFR_48.txt_chunk2,64.46066284179688
1985,1985_Thinktank_CR_CFR_48.txt_chunk3,108.21109771728516
1985,1985_Thinktank_CR_CFR_48.txt_chunk10,136.82139587402344
1987,1987_Thinktank_CR_Brookings_33.txt_chunk4,78.57579803466797
1987,1987_Thinktank_CR_Brookings_33.txt_chunk5,76.6463851928711
1987,1987_Thinktank_CR_Brookings_33.txt_chunk6,74.7318344116211
1987,1987_Thinktank_CR_Brookings_33.txt_chunk7,95.37940979003906
1987,1987_Thinktank_CR_Brookings_33.txt_chunk8,49.875892639160156
1987,1987_Thinktank_CR_Brookings_33.txt_chunk9,54.6873893737793
1987,1987_Thinktank_CR_Brookings_33.txt_chunk10,73.02536010742188
1987,1987_Thinktank_CR_Brookings_33.txt_chunk11,73.33781433105469
1987,1987_Thinktank_CR_Heritage_58.txt_chunk4,57.524436950683594
1987,1987_Thinktank_CR_Heritage_58.txt_chunk5,52.84462356567383
1987,1987_Thinktank_CR_Heritage_58.txt_chunk6,39.627628326416016
1987,1987_Thinktank_CR_Brookings_33.txt_chunk19,53.53126525878906
1987,1987_Thinktank_CR_Brookings_33.txt_chunk18,88.1929931640625
1987,1987_Thinktank_CR_Brookings_33.txt_chunk21,54.41085433959961
1987,1987_Thinktank_CR_Brookings_33.txt_chunk20,61.31669616699219
1987,1987_Thinktank_CR_Brookings_33.txt_chunk3,61.53390884399414
1987,1987_Thinktank_CR_Heritage_58.txt_chunk9,44.61449432373047
1987,1987_Thinktank_CR_Heritage_58.txt_chunk10,66.52415466308594
1987,1987_Thinktank_CR_Heritage_58.txt_chunk11,43.40597152709961
1987,1987_Thinktank_CR_Heritage_58.txt_chunk16,91.59349060058594
1987,1987_Thinktank_CR_Heritage_58.txt_chunk17,47.065895080566406
1987,1987_Thinktank_CR_Heritage_58.txt_chunk18,43.81719970703125
1987,1987_Thinktank_CR_Heritage_58.txt_chunk19,35.52951431274414
1987,1987_Thinktank_CR_Heritage_58.txt_chunk3,61.15443420410156
1987,1987_Thinktank_CR_Heritage_7.txt_chunk0,46.373939514160156
